확진자 기준 상위 15개 국가의 정보를 알려드립니다.
6월 12일 00:00 기준

국가           확진자	  사망자     완치자    치료중
-----------------------------------------------------
미국         87246309    1035675   83014518   3196116
인도         43213435     524757   42648308     40370
브라질       31417341     668007   30178187    571147
프랑스       29753370     148710   29206240    398420
독일         26802782     140115   25870800    791867
영국         22382352     179217   22019878    183257
러시아       18373184     379955   17791081    202148
대한민국     18218078      24351   17969644    224083
이탈리아     17611607     167305   16820881    623421
터키         15072747      98965   14971256      2526
스페인       12478994     107108   11939322    432564
베트남       10729681      43082    9540598   1146001
아르헨티나    9276618     128973    8895999    251646
일본          9023920      30866    8825014    168040
네덜란드      8101839      22332    8042086     37421

